Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
wheel59,3.7991E-07,2.4541E-11,-1.0326E-10,0,0,0,0.0023,2.1874E-07,5.8419E-16,-2.4582E-15,2.4987E-07,9.3941E-18,2.4987E-07,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel59.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel59.STL,,omniwheel-5/wheel-9,Origin_wheel59,基准轴59,wheel59,continuous,-0.021991,-0.0067761,0.034201,-0.77764,0.51099,3.0438,omniwheel5,1,0,0,,,,,,,,,,,,
wheel510,3.7985E-07,-4.3249E-11,-8.0254E-11,0,0,0,0.0023,2.1874E-07,-1.0338E-15,-1.9184E-15,2.4987E-07,-1.2887E-17,2.4987E-07,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel510.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel510.STL,,omniwheel-5/wheel-10,Origin_wheel510,基准轴510,wheel510,continuous,0.01504,-0.029957,-0.036271,-0.029005,0.5024,3.0441,omniwheel5,1,0,0,,,,,,,,,,,,
wheel511,3.8167E-07,2.3687E-10,4.6138E-11,0,0,0,0.0023,2.1874E-07,5.0102E-15,9.759E-16,2.4987E-07,-3.8655E-17,2.4987E-07,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel511.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel511.STL,,omniwheel-5/wheel-11,Origin_wheel511,基准轴511,wheel511,continuous,0.032958,-0.031982,-0.015692,-0.07018,1.1999,2.9927,omniwheel5,1,0,0,,,,,,,,,,,,
wheel512,3.8004E-07,5.3287E-10,4.6578E-10,0,0,0,0.0023,2.1874E-07,1.2579E-14,1.0995E-14,2.4987E-07,-9.1705E-16,2.4987E-07,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel512.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel512.STL,,omniwheel-5/wheel-12,Origin_wheel512,基准轴512,wheel512,continuous,0.033473,-0.032723,0.011655,-3.0628,1.2418,-0.0089472,omniwheel5,1,0,0,,,,,,,,,,,,
wheel513,3.8164E-07,-5.5496E-10,5.3086E-10,0,0,0,0.0023,2.1874E-07,-1.1769E-14,1.1258E-14,2.4987E-07,1.0431E-15,2.4987E-07,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel513.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel513.STL,,omniwheel-5/wheel-13,Origin_wheel513,基准轴513,wheel513,continuous,0.016344,-0.031833,0.032973,-3.1119,0.54443,-0.068096,omniwheel5,1,0,0,,,,,,,,,,,,
wheel514,3.7993E-07,-3.5506E-11,1.6448E-11,0,0,0,0.0023,2.1874E-07,-8.4421E-16,3.9108E-16,2.4987E-07,2.1639E-18,2.4987E-07,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel514.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel514.STL,,omniwheel-5/wheel-14,Origin_wheel514,基准轴514,wheel514,continuous,-0.010414,-0.029729,0.038288,-3.1159,-0.15346,-0.087424,omniwheel5,1,0,0,,,,,,,,,,,,
wheel515,3.8142E-07,3.617E-11,-2.5813E-10,0,0,0,0.0023,2.1874E-07,7.7816E-16,-5.5534E-15,2.4987E-07,3.3251E-17,2.4987E-07,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel515.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel515.STL,,omniwheel-5/wheel-15,Origin_wheel515,基准轴515,wheel515,continuous,-0.03428,-0.027396,0.025113,-3.103,-0.85127,-0.11251,omniwheel5,1,0,0,,,,,,,,,,,,
wheel516,3.7994E-07,-9.6158E-11,-1.46E-11,0,0,0,0.0023,2.1874E-07,-2.2852E-15,-3.4696E-16,2.4987E-07,-5.2008E-18,2.4987E-07,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel516.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel516.STL,,omniwheel-5/wheel-16,Origin_wheel516,基准轴516,wheel516,continuous,-0.044089,-0.025925,-0.00038813,-2.2616,-1.5378,-0.96319,omniwheel5,1,0,0,,,,,,,,,,,,
wheel517,3.8084E-07,6.2586E-12,-1.8691E-12,0,0,0,0.0023,2.1874E-07,1.3991E-16,-4.1783E-17,2.4987E-07,4.2285E-20,2.4987E-07,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel517.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel517.STL,,omniwheel-5/wheel-17,Origin_wheel517,基准轴517,wheel517,continuous,-0.035249,-0.026004,-0.026282,-0.040559,-0.89328,3.0897,omniwheel5,1,0,0,,,,,,,,,,,,
wheel518,3.8195E-07,1.4231E-10,-5.2643E-11,0,0,0,0.0023,2.1874E-07,2.9567E-15,-1.0937E-15,2.4987E-07,2.6305E-17,2.4987E-07,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel518.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel518.STL,,omniwheel-5/wheel-18,Origin_wheel518,基准轴518,wheel518,continuous,-0.011897,-0.027596,-0.040454,-0.025914,-0.19549,3.0631,omniwheel5,1,0,0,,,,,,,,,,,,
